parid,elev
5830705,20
5833178,20
5916464,20
5916251,20
5830276,20
3394305,15
5916430,20
5833062,20
5833062,20
5832856,20
5916367,20
5831671,20
5832228,20
5832945,20
5916162,20
6029211,20
5830446,20
5352153,20
6260435,20
6029334,20
5830586,20
5833160,20
6612005,20
6670498,25
6616833,20
5655598,20
5656021,20
6260699,20
5275281,10
5653862,20
6261148,20
5276198,10
5257088,20
5653714,20
5653536,20
3382111,15
3575296,25
6029997,20
6030367,20
6261300,20
3383249,15
3383419,15
6029318,20
3384105,15
5263258,10
5263321,10
5286398,5
3389859,15
5702715,20
5488705,10
3398483,15
3398891,15
5702448,20
3401263,15
5263193,10
3104242,5
3140915,20
3391365,10
3140851,20
6261440,20
3574877,30
5263754,10
5262928,10
3401956,15
6836795,20
3402839,20
4717447,20
3467060,20
3466985,20
4717757,20
3466934,20
4895043,25
4717668,20
3505450,5
4717579,20
3505450,5
3507011,5
4717463,20
3403592,15
4895175,25
4994297,20
3404351,20
5128385,25
5128415,25
5128709,25
5128989,25
5128989,25
5151174,20
5128504,25
5128709,25
4895116,25
5152359,20
5152359,20
5128351,25
5152138,20
5152308,20
5152103,20
5151247,20
5128342,25
5128288,25
5152294,20
5152243,20
5151182,20
5128393,25
5275876,10
5275698,10
5128695,25
5276091,10
